,ISO_A3
1382,FIN
1383,FIN
1384,USA
1385,FRA
1386,ARG
1387,ARG
1388,ETH
1389,ETH
1390,FRA
1391,FRA
1392,BLR
1393,GHA
1394,FRA
1395,TUR
1396,TUR
1397,TUR
1398,ARG
1399,ARG
1400,ARG
1401,ARG
1402,RUS
1403,USA
1404,USA
1405,JAM
1406,GBR
1407,GBR
1408,TUR
1409,PAK
1410,ARG
1411,BLR
1412,BLR
1413,RUS
1414,RUS
1415,RUS
1416,RUS
1417,RUS
1418,RUS
1419,RUS
1420,CUB
1421,CUB
1422,CUB
1423,USA
1424,IRQ
1425,PAK
1426,PAK
1427,RUS
1428,RUS
1429,RUS
1430,RUS
1431,ESP
1432,FRA
1433,NGA
1434,USA
1435,CHN
1436,FRA
1437,DEU
1438,DEU
1439,NLD
1440,NLD
1441,NLD
1442,NLD
1443,NLD
1444,CZE
1445,UKR
1446,NGA
1447,RUS
1448,RUS
1449,USA
1450,USA
1451,USA
1452,USA
1453,USA
1454,USA
1455,USA
1456,USA
1457,USA
1458,USA
1459,USA
1460,NGA
1461,USA
1462,USA
1463,USA
1464,USA
1465,RUS
1466,ROU
1467,ROU
1468,RUS
1469,USA
1470,DEU
1471,BLR
1472,SVK
1473,DEU
1474,DEU
1475,FRA
1476,ESP
1477,USA
1478,DEU
1479,CHE
1480,DEU
1481,AUT
1482,CHE
1483,CHE
1484,CHE
1485,CHE
1486,CHE
1487,DEU
1488,DEU
1489,DEU
1490,RUS
1491,ROU
1492,SWE
1493,SWE
1494,USA
1495,USA
1496,GBR
1497,GBR
1498,GBR
1499,SWE
1500,SWE
1501,SWE
1502,SWE
1503,SWE
1504,SWE
1505,SWE
1506,SWE
1507,FIN
1508,GBR
1509,USA
1510,GBR
1511,ITA
1512,CHE
1513,HUN
1514,HUN
1515,NGA
1516,BRA
1517,GBR
1518,GBR
1519,USA
1520,ROU
1521,POL
1522,FRA
1523,DEU
1524,DEU
1525,USA
1526,FRA
1527,HUN
1528,DEU
1529,RUS
1530,RUS
1531,KOR
1532,KOR
1533,KOR
1534,KOR
1535,CAN
1536,BEL
1537,UZB
1538,RUS
1539,RUS
1540,AUS
1541,AUS
1542,IRN
1543,RUS
1544,UKR
1545,FRA
1546,SAU
1547,DZA
1548,RUS
1549,DEU
1550,DEU
1551,DEU
1552,DEU
1553,DEU
1554,USA
1555,USA
1556,DEU
1557,DEU
1558,DEU
1559,DEU
1560,RUS
1561,USA
1562,ITA
1563,JAM
1564,CAN
1565,CAN
1566,USA
1567,USA
1568,CAN
1569,CAN
1570,USA
1571,GBR
1572,GBR
1573,USA
1574,JAM
1575,JAM
1576,GBR
1577,GBR
1578,GBR
1579,FRA
1580,FRA
1581,FRA
1582,FRA
1583,AUS
1584,AUS
1585,USA
1586,RUS
1587,UKR
1588,CZE
1589,HUN
1590,HUN
1591,POL
1592,DEU
1593,PAK
1594,PAK
1595,USA
1596,USA
1597,USA
1598,USA
1599,USA
1600,USA
1601,USA
1602,JPN
1603,GBR
1604,NZL
1605,AUS
1606,USA
1607,USA
1608,USA
1609,USA
1610,USA
1611,USA
1612,NLD
1613,CAN
1614,HUN
1615,HUN
1616,GRC
1617,HUN
1618,HUN
1619,HUN
1620,BGR
1621,RUS
1622,FRA
1623,UKR
1624,CUB
1625,RUS
1626,TUR
1627,ROU
1628,ROU
1629,KAZ
1630,ROU
1631,ROU
1632,RUS
1633,RUS
1634,RUS
1635,RUS
1636,ITA
1637,RUS
1638,HUN
1639,USA
1640,RUS
1641,CUB
1642,CUB
1643,HUN
1644,HUN
1645,HUN
1646,HUN
1647,HUN
1648,RUS
1649,ITA
1650,ITA
1651,ITA
1652,ITA
1653,ITA
1654,ITA
1655,ITA
1656,ESP
1657,DEU
1658,USA
1659,CAN
1660,CAN
1661,HRV
1662,HRV
1663,URY
1664,HUN
1665,DEU
1666,DEU
1667,DEU
1668,NLD
1669,GBR
1670,USA
1671,CAN
1672,CAN
1673,CAN
1674,USA
1675,DEU
1676,HUN
1677,HUN
1678,FRA
1679,FRA
1680,FRA
1681,NOR
1682,NOR
1683,NOR
1684,NOR
1685,NOR
1686,NOR
1687,NOR
1688,ESP
1689,ESP
1690,ITA
1691,ESP
1692,NZL
1693,GRC
1694,FRA
1695,AUS
1696,FRA
1697,HUN
1698,HUN
1699,HUN
1700,AUS
1701,ITA
1702,GRC
1703,BGR
1704,RUS
1705,USA
1706,DEU
1707,HUN
1708,DEU
1709,BEL
1710,DEU
1711,ITA
1712,ITA
1713,FRA
1714,ROU
1715,USA
1716,USA
1717,GBR
1718,ITA
1719,DEU
1720,ITA
1721,DNK
1722,DNK
1723,ARG
1724,HUN
1725,KOR
1726,KOR
1727,KOR
1728,DNK
1729,DNK
1730,DNK
1731,CHE
1732,GBR
1733,CUB
1734,USA
1735,DEU
1736,USA
1737,CHN
1738,USA
1739,DEU
1740,DEU
1741,ROU
1742,HRV
1743,ITA
1744,FRA
1745,ITA
1746,ITA
1747,ITA
1748,RUS
1749,RUS
1750,RUS
1751,RUS
1752,RUS
1753,HUN
1754,HUN
1755,HUN
1756,HUN
1757,POL
1758,FRA
1759,RUS
1760,BRA
1761,BRA
1762,RUS
1763,CAN
1764,GBR
1765,GBR
1766,AUS
1767,FRA
1768,FRA
1769,ITA
1770,BRA
1771,POL
1772,USA
1773,USA
1774,MEX
1775,POL
1776,ARG
1777,NOR
1778,NOR
1779,USA
1780,FRA
1781,ITA
1782,FRA
1783,FRA
1784,HUN
1785,ESP
1786,PRY
1787,RUS
1788,NOR
1789,NOR
1790,ITA
1791,RUS
1792,MNE
1793,RUS
1794,RUS
1795,RUS
1796,USA
1797,GBR
1798,GBR
1799,GBR
1800,GBR
1801,AUS
1802,AUS
1803,USA
1804,USA
1805,USA
1806,USA
1807,USA
1808,FIN
1809,USA
1810,DEU
1811,FRA
1812,FRA
1813,FIN
1814,CZE
1815,USA
1816,RUS
1817,GBR
1818,USA
1819,USA
1820,CAN
1821,CAN
1822,USA
1823,IRL
1824,IRL
1825,USA
1826,USA
1827,CAN
1828,AUS
1829,USA
1830,AUS
1831,ESP
1832,SWE
1833,SWE
1834,NLD
1835,USA
1836,FRA
1837,FRA
1838,RUS
1839,RUS
1840,USA
1841,FRA
1842,USA
1843,AUS
1844,AUS
1845,AUS
1846,AUS
1847,CAN
1848,CAN
1849,FRA
1850,FRA
1851,FRA
1852,ESP
1853,PRY
1854,PRY
1855,PRT
1856,GBR
1857,USA
1858,GBR
1859,GBR
1860,USA
1861,GBR
1862,GBR
1863,USA
1864,USA
1865,GBR
1866,GBR
1867,CHL
1868,USA
1869,ESP
1870,ARG
1871,ARG
1872,CUB
1873,USA
1874,GTM
1875,CUB
1876,USA
1877,USA
1878,USA
1879,USA
1880,ESP
1881,ESP
1882,NZL
1883,GBR
1884,QAT
1885,QAT
1886,ITA
1887,ITA
1888,RUS
1889,DNK
1890,DNK
1891,HUN
1892,HUN
1893,ITA
1894,SVK
1895,CAN
1896,DEU
1897,NLD
1898,NLD
1899,RUS
1900,RUS
1901,HUN
1902,USA
1903,CHE
1904,DEU
1905,HUN
1906,LUX
1907,CUB
1908,ITA
1909,DEU
1910,DEU
1911,DEU
1912,USA
1913,DEU
1914,DEU
1915,AUT
1916,GBR
1917,CAN
1918,GBR
1919,GBR
1920,USA
1921,NLD
1922,NLD
1923,NLD
1924,POL
1925,ITA
1926,GBR
1927,USA
1928,USA
1929,USA
1930,USA
1931,USA
1932,USA
1933,USA
1934,CZE
1935,CZE
1936,DEU
1937,USA
1938,DEU
1939,SWE
1940,RUS
1941,RUS
1942,RUS
1943,RUS
1944,RUS
1945,RUS
1946,ITA
1947,BGR
1948,IRN
1949,FRA
1950,ITA
1951,TUR
1952,RUS
1953,RUS
1954,FRA
1955,DEU
1956,RUS
1957,PAK
1958,PAK
1959,ESP
1960,ITA
1961,ITA
1962,RUS
1963,BLR
1964,BLR
1965,BLR
1966,ITA
1967,ITA
1968,USA
1969,ARG
1970,DEU
